"entity_id","MEDICATION"
"00789739","SUPEUDOL 5 (OXYCODONE HYDROCHLORIDE 5MG)"
"01918354","COUMADIN TAB 5MG (WARFARIN SODIUM 5MG)"
"02337436","SANDOZ IRBESARTAN HCT (IRBESARTAN 300MG, HYDROCHLOROTHIAZIDE 12.5MG)"
"00060879","ALCOHOL 5% AND DEXTROSE 5% INJ USP (ALCOHOL ANHYDROUS 5ML, DEXTROSE 5G)"
"02263823","PEDIAPHEN CHILDREN'S ACETAMINOPHEN CHEWABLE TABLETS USP 160MG/TABLET (ACETAMINOPHEN 160MG)"
"02223481","PHL-FLUOXETINE - CAP 10MG (FLUOXETINE (FLUOXETINE HYDROCHLORIDE) 10MG)"
"02319047","NEOSTRATA HQ PLUS LIGHTENING CREAM (HYDROQUINONE 4.0%, OCTOCRYLENE 4.0%, PADIMATE O 8.0%, OXYBENZONE 4.0%)"
"02306425","NORWEGIAN FORMULA AGELESS HAND CREAM SPF 30 (AVOBENZONE 2.0%, OCTOCRYLENE 3.55%, OXYBENZONE 3.0%, OCTISALATE 5.0%, HOMOSALATE 5.0%)"
"02284383","SANDOZ AMLODIPINE (AMLODIPINE (AMLODIPINE BESYLATE) 5.0MG)"
"00870196","RATIO-DOCUSATE SODIUM (DOCUSATE SODIUM 100MG)"
"02194031","ARISTOCORT R (TRIAMCINOLONE ACETONIDE 0.1%)"
"02337444","SANDOZ IRBESARTAN HCT (IRBESARTAN 300MG, HYDROCHLOROTHIAZIDE 25MG)"
"01918362","COUMADIN TAB 10MG (WARFARIN SODIUM 10MG)"
"00789747","PROCHLORPERAZINE MESYLATE INJ 5MG/ML (PROCHLORPERAZINE (PROCHLORPERAZINE MESYLATE) 5MG)"
"02358956","SPF 4 SUNSCREEN LOTION WITH BRONZER (OCTINOXATE 2%)"
"02351005","DOM-CLARITHROMYCIN (CLARITHROMYCIN 500MG)"
"01927981","3.3% DEXTROSE AND 0.3% SODIUM CHLORIDE INJECTION USP (DEXTROSE 3.3G, SODIUM CHLORIDE 300MG)"
"02208148","PETHIDINE INJECTION B.P. (MEPERIDINE HYDROCHLORIDE 10MG)"
"02263831","PEDIAPHEN CHILDREN'S ACETAMINOPHEN ORAL SOLUTION USP 160MG/5ML (ACETAMINOPHEN 160MG)"
"01996541","ACETAMINOPHENE CODEINE ET CAFEINE CAPLETS (CAFFEINE CITRATE 30MG, CODEINE PHOSPHATE 8MG, ACETAMINOPHEN 325MG)"
"02319039","CEFEPIME FOR INJECTION (CEFEPIME (CEFEPIME HYDROCHLORIDE) 2G)"
"02306433","ALIMTA (PEMETREXED (PEMETREXED DISODIUM) 100MG)"
"02309505","XYNTHA (MOROCTOCOG ALFA 1000UNIT)"
"02288028","VISIBLE DIFFERENCE GENTLY HYDRATING CREAM SPF 15 (AVOBENZONE 3.0%, OXYBENZONE 3.0%, OCTINOXATE 7.5%)"
"02260484","CLINIQUE MOISTURE SHEER TINT SPF 15 (TITANIUM DIOXIDE 1.0%, OCTINOXATE 3.5%)"
"02295253","CHLORHEXIDINE SOLUTION (CHLORHEXIDINE GLUCONATE 2%)"
"02263807","PEDIAPHEN 80MG/5ML (ACETAMINOPHEN 80MG)"
"02358921","PMS-RALOXIFENE (RALOXIFENE HYDROCHLORIDE 60MG)"
"02337452","DIAPER RASH CREAM (ZINC OXIDE 15%, WHITE PETROLATUM 80.3%)"
"00590762","NAPROXEN 250 TAB 250MG (NAPROXEN 250MG)"
"02306441","LUXIVA FLAWLESS EFFECT LIQUID FOUNDATION SPF 15 (OXYBENZONE 3.0%, OCTINOXATE 7.5%)"
"02279614","APO-TOPIRAMATE (TOPIRAMATE 25MG)"
"02309513","XYNTHA (MOROCTOCOG ALFA 2000UNIT)"
"00512524","PROTRIN DF TAB (TRIMETHOPRIM 160MG, SULFAMETHOXAZOLE 800MG)"
"02263815","PEDIAPHEN CHILDREN'S ACETAMINOPHEN CHEWABLE TABLETS USP 80MG/TABLET (ACETAMINOPHEN 80MG)"
"02335204","PREVNAR 13 (CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN 34µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 14 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19F 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23F 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 4 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6B 4.4µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9V 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 3 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6A 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYP 19A 2.2µG, PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 1 2.2µG)"
"01918346","COUMADIN TAB 2.5MG (WARFARIN SODIUM 2.5MG)"
"00244287","THAM SOLUTION 36MG/ML (TROMETHAMINE 36MG)"
"02337460","ADVANCED MARINE BIOLOGY DAY CREAM (AVOBENZONE 3%, OCTISALATE 5%, OCTINOXATE 7.5%)"
